kernel,version,mode,dtype,size_of_dtype,n,block_size,grid_size,interm_stage_elems,repeat,avg_ms,min_ms,max_ms,std_ms,bytes,bw_GB_s,gflops,result,ref,abs_error,rel_error,correct
reduction,cuda_grid_stride_block_shared,d2h,fp32,4,524288,1024,432,432,10,0.007414,0.006952,0.007756,0.000,1728,0.233,0.000,0.000,0.000,0.000,0.000,true
reduction,cuda_grid_stride_block_shared,cpu_finalize,fp32,4,524288,1024,432,432,50,0.000747,0.000746,0.000770,0.000,1732,2.318,0.577,524288.000,524288.000,0.000,0.000,true
reduction,cuda_grid_stride_two_pass,cuda_kernel,fp32,4,524288,1024,432,432,100,0.014941,0.014688,0.018496,0.000,2098880,140.474,35.089,524288.000,524288.000,0.000,0.000,true
reduction,cuda_grid_stride_two_pass,d2h,fp32,4,524288,1024,432,1,10,0.007267,0.006872,0.007641,0.000,4,0.001,0.000,0.000,0.000,0.000,0.000,true
reduction,cuda_multi_pass,cuda_kernel,fp32,4,524288,1024,432,432,100,0.017702,0.017344,0.021280,0.000,2098880,118.567,29.617,524288.000,524288.000,0.000,0.000,true
reduction,cuda_multi_pass,d2h,fp32,4,524288,1024,432,1,10,0.007437,0.007069,0.007787,0.000,4,0.001,0.000,0.000,0.000,0.000,0.000,true
reduction,cpu_serial,cpu,fp32,4,1048576,0,0,0,10,1.754284,1.752019,1.760417,0.003,4194304,2.391,0.598,1048576.000,1048576.000,0.000,0.000,true
reduction,cpu_omp,cpu,fp32,4,1048576,0,0,0,10,0.113439,0.099681,0.233280,0.040,4194304,36.974,9.243,1048576.000,1048576.000,0.000,0.000,true
reduction,all_gpu_version,h2d,fp32,4,1048576,0,0,0,10,0.176505,0.173237,0.203866,0.009,4194304,23.763,0.000,0.000,0.000,0.000,0.000,true
reduction,cuda_atomic_add,cuda_kernel,fp32,4,1048576,64,16384,1,3,2.536565,2.533408,2.542880,0.004,4194308,1.654,0.413,1048576.000,1048576.000,0.000,0.000,true
reduction,cuda_atomic_add,d2h,fp32,4,1048576,64,16384,1,10,0.009379,0.007432,0.024617,0.005,4,0.000,0.000,0.000,0.000,0.000,0.000,true
reduction,cuda_block_shared_mem,cuda_kernel,fp32,4,1048576,64,16384,16384,100,0.019467,0.019232,0.022592,0.000,4259840,218.829,53.865,1048576.000,1048576.000,0.000,0.000,true
reduction,cuda_block_shared_mem,d2h,fp32,4,1048576,64,16384,16384,10,0.010068,0.009865,0.010873,0.000,65536,6.510,0.000,0.000,0.000,0.000,0.000,true
reduction,cuda_block_shared_mem,cpu_finalize,fp32,4,1048576,64,16384,16384,50,0.027502,0.027399,0.032484,0.001,65540,2.383,0.596,1048576.000,1048576.000,0.000,0.000,true
reduction,cuda_grid_stride_block_shared,cuda_kernel,fp32,4,1048576,64,432,432,100,0.014308,0.014048,0.018720,0.000,4196032,293.261,73.285,1048576.000,1048576.000,0.000,0.000,true
reduction,cuda_grid_stride_block_shared,d2h,fp32,4,1048576,64,432,432,10,0.007594,0.007006,0.007979,0.000,1728,0.228,0.000,0.000,0.000,0.000,0.000,true
reduction,cuda_grid_stride_block_shared,cpu_finalize,fp32,4,1048576,64,432,432,50,0.000747,0.000745,0.000764,0.000,1732,2.320,0.577,1048576.000,1048576.000,0.000,0.000,true
reduction,cuda_grid_stride_two_pass,cuda_kernel,fp32,4,1048576,64,432,432,100,0.017836,0.017632,0.021632,0.000,4196032,235.258,58.790,1048576.000,1048576.000,0.000,0.000,true
reduction,cuda_grid_stride_two_pass,d2h,fp32,4,1048576,64,432,1,10,0.007374,0.006911,0.007656,0.000,4,0.001,0.000,0.000,0.000,0.000,0.000,true
reduction,cuda_multi_pass,cuda_kernel,fp32,4,1048576,64,432,432,100,0.020658,0.020288,0.024448,0.000,4196032,203.123,50.760,1048576.000,1048576.000,0.000,0.000,true
reduction,cuda_multi_pass,d2h,fp32,4,1048576,64,432,1,10,0.007270,0.007089,0.007768,0.000,4,0.001,0.000,0.000,0.000,0.000,0.000,true
reduction,cuda_atomic_add,cuda_kernel,fp32,4,1048576,128,8192,1,3,2.535456,2.533408,2.538880,0.002,4194308,1.654,0.414,1048576.000,1048576.000,0.000,0.000,true
reduction,cuda_atomic_add,d2h,fp32,4,1048576,128,8192,1,10,0.007688,0.007258,0.008612,0.000,4,0.001,0.000,0.000,0.000,0.000,0.000,true
reduction,cuda_block_shared_mem,cuda_kernel,fp32,4,1048576,128,8192,8192,100,0.014252,0.014016,0.016736,0.000,4227072,296.598,73.575,1048576.000,1048576.000,0.000,0.000,true
reduction,cuda_block_shared_mem,d2h,fp32,4,1048576,128,8192,8192,10,0.008698,0.008435,0.009458,0.000,32768,3.767,0.000,0.000,0.000,0.000,0.000,true
